customer,education,rating
1,high school only,acceptable
2,college degree,unacceptable
3,college degree,acceptable
4,high school only,acceptable
5,college degree,unacceptable
6,high school only,acceptable
7,high school only,unacceptable
8,college degree,acceptable
9,college degree,unacceptable
10,college degree,unacceptable
11,high school only,acceptable
12,college degree,acceptable
13,college degree,unacceptable
14,high school only,acceptable
15,college degree,acceptable
16,high school only,acceptable
17,high school only,acceptable
18,high school only,unacceptable
19,college degree,unacceptable
20,college degree,acceptable
21,college degree,unacceptable
22,high school only,acceptable
23,college degree,acceptable
24,high school only,acceptable
25,college degree,unacceptable
